hostId,cpuCapacity,freeCpu,memCapacity,freeMem
486703,0.5,0.18435,0.4995,0.0605
486704,0.5,0.125,0.4995,0.32919
486707,0.5,0.21875,0.4995,0.0604
486711,0.5,0.028162,0.4995,0.062997
486805,0.5,0.09685,0.4995,0.19717
486816,0.5,0.125538,0.4995,0.313348
486820,0.5,0.06,0.4995,0.19357
486821,0.5,0.143782,0.4995,0.046258
486826,0.5,0.0805,0.4995,0.21236
486827,0.5,0.19235,0.4995,0.0185
486956,0.5,0.19235,0.4995,0.0185
486957,0.5,0.095581,0.4995,0.227902
486958,0.5,0.1137122,0.4995,0.181342
486959,0.5,0.065652,0.4995,0.124327
486961,0.5,0.1344,0.4995,0.345733
487295,0.5,0.062462,0.4995,0.017363
487385,0.5,0.08808,0.4995,0.19261
487386,0.5,0.0625,0.4995,0.17604
487390,0.5,0.05636,0.4995,0.086352
487391,0.5,0.08439,0.4995,0.237417
487397,0.5,0.10739,0.4995,0.05114
487399,0.5,0.08117,0.4995,0.20423
487402,0.5,0.19235,0.4995,0.0185
487403,0.5,0.08312,0.4995,0.21254
487404,0.5,0.12809,0.4995,0.380933
487407,0.5,0.07195,0.4995,0.21217
487411,0.5,0.04054,0.4995,0.134918
487414,0.5,0.19235,0.4995,0.0185
487535,0.5,0.12183,0.4995,0.35629
487538,0.5,0.08696,0.4995,0.19704
487541,0.5,0.02053,0.4995,0.063723
487545,0.5,0.19235,0.4995,0.0185
487547,0.5,0.125,0.4995,0.34929
487548,0.5,0.1187,0.4995,0.4677
495767,0.5,0.19235,0.4995,0.0185
514995,0.5,0.08752,0.4995,0.20686
514996,0.5,0.0399,0.4995,0.102692
567335,0.5,0.03679,0.4995,0.100057
567336,0.5,0.19235,0.4995,0.0185
567341,0.5,0.15625,0.4995,0.43975
567345,0.5,0.08743,0.4995,0.08269
567348,0.5,0.125,0.4995,0.34367
567376,0.5,0.19235,0.4995,0.0185
567377,0.5,0.06253,0.4995,0.129271
567382,0.5,0.1606,0.4995,0.42308
567383,0.5,0.10003,0.4995,0.27574
567596,0.5,0.0938,0.4995,0.28365
567597,0.5,0.125,0.4995,0.337371
567599,0.5,0.09317,0.4995,0.19399
567601,0.5,0.09375,0.4995,0.310317
567604,0.5,0.125,0.4995,0.353362
567608,0.5,0.19235,0.4995,0.0185
567610,0.5,0.06115,0.4995,0.11763
567611,0.5,0.0545,0.4995,0.037371
567616,0.5,0.19235,0.4995,0.0185
567617,0.5,0.06735,0.4995,0.18423
567618,0.5,0.03125,0.4995,0.01906
567624,0.5,0.03137,0.4995,0.06724
567626,0.5,0.12495,0.4995,0.06681
567748,0.5,0.12183,0.4995,0.363491
567752,0.5,0.125,0.4995,0.332713
567756,0.5,0.15265,0.4995,0.3387
567757,0.5,0.1606,0.4995,0.42308
567763,0.5,0.15625,0.4995,0.43975
567764,0.5,0.02312,0.4995,0.063214
567769,0.5,0.05556,0.4995,0.142371
